,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
Basque country,-7.085106382978723,-3.8457446808510642,-2.0904255319148937,-13.611702127659575,50.484042553191486,-2.75,-5.585106382978724,-0.8670212765957446,-7.51595744680851,-1.5265957446808511,-0.5797872340425532,-5.5638297872340425
Cantabria,-6.585106382978723,-5.845744680851064,-0.09042553191489366,-5.111702127659575,20.484042553191486,6.25,-5.085106382978724,1.1329787234042554,0.9840425531914896,0.9734042553191489,-1.0797872340425532,-5.5638297872340425
Castile & Leon,-7.085106382978723,-6.845744680851064,-1.5904255319148937,-10.611702127659575,29.484042553191486,0.75,-2.085106382978724,-0.36702127659574457,5.98404255319149,0.47340425531914887,-1.0797872340425532,-5.5638297872340425
Castile-La-Mancha,-6.085106382978723,-7.345744680851064,-1.5904255319148937,-12.111702127659575,31.484042553191486,3.75,1.914893617021276,2.632978723404255,-5.01595744680851,0.47340425531914887,-1.0797872340425532,-5.5638297872340425
Catalonia,-5.585106382978723,-5.345744680851064,-0.5904255319148937,-12.111702127659575,31.984042553191486,0.25,-0.585106382978724,0.13297872340425543,-1.5159574468085104,-0.5265957446808511,-1.0797872340425532,-5.5638297872340425
Extremadura,-4.085106382978723,-3.8457446808510642,-1.0904255319148937,-13.611702127659575,15.484042553191486,0.75,3.414893617021276,-1.3670212765957446,8.48404255319149,3.473404255319149,-1.0797872340425532,-5.5638297872340425
Galicia,-4.585106382978723,-6.345744680851064,-0.5904255319148937,-13.611702127659575,28.484042553191486,-1.25,-4.585106382978724,-0.36702127659574457,11.98404255319149,-1.0265957446808511,-1.0797872340425532,-5.5638297872340425
Valencia,-4.585106382978723,-3.3457446808510642,-1.0904255319148937,-10.611702127659575,28.984042553191486,-3.25,-2.085106382978724,0.6329787234042554,3.4840425531914896,-0.02659574468085113,-1.0797872340425532,-5.5638297872340425
Sweden,29.414893617021278,-7.345744680851064,1.4095744680851063,2.3882978723404253,-13.015957446808514,-3.25,-5.585106382978724,-1.3670212765957446,-7.01595744680851,-1.5265957446808511,1.4202127659574468,1.4361702127659575
Gotland,42.41489361702128,-8.845744680851064,3.4095744680851063,0.8882978723404253,-17.015957446808514,-4.25,-8.085106382978724,-1.3670212765957446,-9.01595744680851,0.47340425531914887,2.920212765957447,1.9361702127659575
Switzerland,6.414893617021277,-7.345744680851064,5.909574468085106,-10.111702127659575,15.484042553191486,3.25,-5.085106382978724,-0.8670212765957446,-2.5159574468085104,-1.0265957446808511,0.42021276595744683,-4.5638297872340425
Turkey-Anatolia,-6.585106382978723,-4.845744680851064,-1.5904255319148937,-6.111702127659575,-18.515957446808514,6.75,15.914893617021276,7.632978723404255,0.9840425531914896,0.9734042553191489,0.9202127659574468,-1.5638297872340425
Ukraine,-4.085106382978723,4.154255319148936,-1.5904255319148937,31.388297872340424,-27.015957446808514,-1.75,-1.085106382978724,-0.36702127659574457,-4.51595744680851,-0.5265957446808511,-0.07978723404255317,1.9361702127659575
Wales,4.414893617021277,-7.845744680851064,0.9095744680851063,-12.611702127659575,39.484042553191486,-1.75,-7.585106382978724,-1.3670212765957446,-6.01595744680851,-0.5265957446808511,-1.0797872340425532,-5.5638297872340425
