,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
Kosovo,-0.2412070664488677,-0.4920523187237783,-1.1692027904537217,-0.6819718746002286,-0.5611515248862681,-1.255654650481908,1.1254158026013936,-0.7695956149946598,4.537371789697384,-0.9830554365793985,-0.21193062137544671,-0.3968931000948122
Latvia,-0.18336659643306777,-0.6083630931413018,-0.6098894962926538,1.9750510624003115,-0.9348108637715752,-1.255654650481908,-1.0144392759226217,-0.7695956149946598,-1.1518884818743609,-0.6610790914976443,-0.11379525975331867,2.3138184745489148
Lithuania,-0.18336659643306777,-0.22066051174955692,-0.6098894962926538,1.8253596293298584,-1.2254347940157029,-1.255654650481908,-1.0813097471264972,-0.7695956149946598,-1.0913644364321082,-0.6610790914976443,-0.11379525975331867,2.599156535037728
Macedonia,-0.5304094165278673,1.0975282649823754,-0.33023284921211987,-0.008360425783190207,-0.9140520116112804,-0.07386203826364166,0.7910634465820162,0.3563497205617297,1.3901214267002489,-0.017126401334135906,-0.11379525975331867,-0.36122584253371054
Malta,-0.7617712965910669,0.08950155336383893,-0.6098894962926538,-0.756817591135455,-0.08369792519948678,0.6647583443727748,1.727250043436273,3.734185727230898,-0.12297970935606645,1.9147316691563894,-0.01565989813119064,-0.3968931000948122
Moldova,-0.2990475364646676,0.9424472324256775,0.5087370920294818,1.2640167553156598,-0.7687400464892165,-0.9602064974273414,-0.5463459774954934,1.482295056118119,0.3612126541819544,-0.3391027464158901,-0.21193062137544671,-0.2898913274115072
Gagauzes,-0.41472847649626743,0.8649067161473285,0.5087370920294818,0.40329101516055543,-0.9140520116112804,2.732895415754741,-0.3457345638838669,0.3563497205617297,0.119116472412944,0.9488026339111267,-0.21193062137544671,-0.32555858497260887
Montenegro,-0.18336659643306777,1.6015416207916437,-0.33023284921211987,-0.4574347249945491,-1.0386051245730494,-0.5170342678454916,0.12235873454326145,-0.4881092811055624,2.0558859265650278,-0.9830554365793985,0.18061082511306542,-0.2898913274115072
Netherlands,1.0312832738987305,-0.6083630931413018,2.466333621593219,-0.7193947328678418,0.6013441960902429,0.07386203826364166,-0.6132164486993689,-0.4881092811055624,-0.7887442092208452,-0.3391027464158901,-0.21193062137544671,-0.3968931000948122
Norway,2.766497374372728,-0.6859036094196507,1.3477070332710837,0.8897881726395276,-0.10445677735978161,-0.9602064974273414,-1.0144392759226217,-0.7695956149946598,-1.0913644364321082,-0.9830554365793985,-0.01565989813119064,-0.21855681228930385
Poland,0.1058357536459318,-0.2594307698887314,-0.050576202131585944,3.2848511017667748,-0.9140520116112804,-0.8124824209000582,-0.7469573911071198,-0.7695956149946598,-0.7887442092208452,-0.6610790914976443,-0.11379525975331867,-0.11155503960599883
Portugal,-0.6460903565594671,-0.5695928350021272,0.5087370920294818,-0.906509024205908,0.8919681263343706,0.6647583443727748,0.18922920574713692,0.9193223883399244,0.48226074506645966,0.6268262888293725,-0.11379525975331867,-0.3968931000948122
Romania,-0.35688800648046753,1.3301498138174224,0.22908044494894797,0.29102244035771574,-0.9348108637715752,0.22158611479092494,0.7241929753781408,0.07486338667263234,0.6033088359509649,-0.6610790914976443,-0.11379525975331867,-0.36122584253371054
Russia,-0.2990475364646676,0.12827181150301342,-1.1692027904537217,2.4241253616116705,-1.1839170896951132,-0.9602064974273414,-0.6800869199032443,-0.7695956149946598,-0.9097923001053504,-0.017126401334135906,0.08247546349093739,1.2438007477158646
Bashkirs,-0.8774522366226668,-0.6471333512804762,-1.1692027904537217,0.9272110309071409,0.5390676396093583,-1.1079305739546248,-0.6800869199032443,-0.7695956149946598,-1.1518884818743609,-0.9830554365793985,-0.21193062137544671,0.8157936569826446
Chuvashs,-0.06768565640146795,-0.3369712861670804,-1.1692027904537217,1.2265938970480466,-1.3084702026568822,-1.255654650481908,0.6573225041742653,0.07486338667263234,0.3612126541819544,-0.9830554365793985,-0.21193062137544671,1.6004733233268813
Komis,-0.6460903565594671,-0.5308225768629528,-1.1692027904537217,1.1517481805128202,-0.9763285680921648,-1.255654650481908,-1.0813097471264972,-0.7695956149946598,-0.6071720728940874,-0.9830554365793985,-0.21193062137544671,3.2411671711375583
Maris,-0.5304094165278673,-0.6083630931413018,-1.1692027904537217,1.3762853301184996,-1.3499879069774718,-0.9602064974273414,-1.0813097471264972,-0.7695956149946598,-1.2124125273166135,-0.3391027464158901,-0.21193062137544671,3.9545123223595913
Mordvins ,0.047995283630131884,-0.6083630931413018,0.5087370920294818,1.6756681962594056,-0.9763285680921648,-0.36931019131820825,0.7910634465820162,-0.7695956149946598,-0.12297970935606645,-0.9830554365793985,-0.21193062137544671,0.6731246267382379
Tatars,0.047995283630131884,-0.5308225768629528,-0.6098894962926538,0.8149424561043012,-1.080122828893639,1.4033787270091913,0.3229701481548879,-0.4881092811055624,-0.0019316184715612262,2.2367080142381437,0.18061082511306542,0.7444591418604413
Udmurts,-0.6460903565594671,-0.6471333512804762,-0.8895461433731876,0.10390814901964952,-0.8932931594509855,-1.1079305739546248,-1.0813097471264972,-0.7695956149946598,-1.1518884818743609,-0.6610790914976443,-0.21193062137544671,4.382519413092812
Scotland,0.1636762236617317,-0.6083630931413018,1.0680503861905497,-0.38258900845932264,1.5770102476241004,-1.1079305739546248,-0.8138278623109952,-0.7695956149946598,-1.0308403909898556,-0.6610790914976443,-0.11379525975331867,-0.3968931000948122
Serbia,0.1058357536459318,1.8729334277658651,-0.8895461433731876,0.178753865554876,-1.100881681053934,-0.6647583443727748,-0.01138220786448952,-0.4881092811055624,0.9664531086044805,-0.3391027464158901,0.08247546349093739,-0.2542240698504055
Slovakia,-0.12552612641726787,0.5547446510339327,-0.33023284921211987,2.087319637203151,-0.8310166029701009,-0.07386203826364166,-0.8138278623109952,-0.20662294721646504,-0.42559993656732953,-0.6610790914976443,-0.11379525975331867,-0.18288955472820217
Slovenia,0.1636762236617317,0.9036769742865031,-0.33023284921211987,1.8253596293298584,-0.6857046378480371,-0.8124824209000582,-0.7469573911071198,-0.7695956149946598,-0.6071720728940874,-0.3391027464158901,-0.21193062137544671,-0.3968931000948122
